--
-- PostgreSQL database dump
--


SET search_path = public, pg_catalog;

--
-- TOC entry 2 (OID 1769377)
-- Name: customer; Type: TABLE; Schema: public;
--

CREATE TABLE customer (
    customerid integer NOT NULL,
    l_name character(15) NOT NULL,
    f_name character(15),
    city character(15),
    no_borrowed smallint DEFAULT 0,
    CONSTRAINT customer_city CHECK ((((city = 'Wellington'::bpchar) OR (city = 'Upper Hutt'::bpchar)) OR (city = 'Lower Hutt'::bpchar))),
    CONSTRAINT customer_customerid CHECK ((customerid > 0))
);


-- Data for TOC entry 13 (OID 1769377)
-- Name: customer; Type: TABLE DATA; Schema: public;  
--

COPY customer (customerid, l_name, f_name, city, no_borrowed) FROM stdin;
20	surname-55992  	firstname-94311	Upper Hutt     	1
21	surname-65019  	firstname-10566	Lower Hutt     	5
22	surname-18125  	firstname-90402	Wellington     	2
23	surname-39330  	firstname-11777	Upper Hutt     	2
24	surname-27640  	firstname-46794	Upper Hutt     	1
25	surname-99631  	firstname-17792	Upper Hutt     	4
26	surname-58945  	firstname-67648	Wellington     	3
27	surname-24327  	firstname-88827	Upper Hutt     	0
28	surname-68748  	firstname-43141	Upper Hutt     	1
29	surname-93942  	firstname-96271	Lower Hutt     	5
30	surname-53334  	firstname-21608	Lower Hutt     	1
31	surname-79447  	firstname-29522	Wellington     	3
32	surname-83701  	firstname-90236	Upper Hutt     	2
33	surname-23845  	firstname-19627	Wellington     	2
34	surname-95198  	firstname-82111	Upper Hutt     	2
35	surname-92434  	firstname-98724	Wellington     	3
36	surname-79263  	firstname-87211	Wellington     	3
37	surname-27242  	firstname-16311	Lower Hutt     	4
38	surname-35695  	firstname-17909	Lower Hutt     	2
39	surname-26865  	firstname-83075	Lower Hutt     	4
40	surname-34074  	firstname-72920	Upper Hutt     	3
41	surname-17620  	firstname-69643	Wellington     	4
42	surname-58316  	firstname-11534	Upper Hutt     	1
43	surname-96205  	firstname-38913	Upper Hutt     	2
44	surname-86827  	firstname-76062	Upper Hutt     	2
45	surname-39519  	firstname-86991	Upper Hutt     	2
46	surname-48482  	firstname-37812	Wellington     	6
47	surname-57840  	firstname-98820	Wellington     	2
48	surname-48285  	firstname-61232	Upper Hutt     	3
49	surname-79411  	firstname-97252	Upper Hutt     	2
50	surname-25887  	firstname-42582	Wellington     	7
51	surname-45361  	firstname-97164	Lower Hutt     	2
52	surname-17797  	firstname-30873	Lower Hutt     	1
53	surname-40116  	firstname-42427	Upper Hutt     	0
54	surname-10220  	firstname-23685	Lower Hutt     	1
55	surname-38203  	firstname-94312	Lower Hutt     	2
56	surname-52077  	firstname-28095	Wellington     	2
57	surname-30739  	firstname-22390	Upper Hutt     	0
58	surname-55436  	firstname-12588	Wellington     	2
59	surname-38960  	firstname-96500	Upper Hutt     	2
60	surname-98698  	firstname-74770	Wellington     	1
61	surname-44020  	firstname-51957	Wellington     	3
62	surname-22415  	firstname-30481	Wellington     	3
63	surname-94321  	firstname-30808	Lower Hutt     	4
64	surname-76398  	firstname-13492	Wellington     	3
65	surname-80420  	firstname-88097	Upper Hutt     	3
66	surname-47819  	firstname-94415	Lower Hutt     	2
67	surname-55798  	firstname-54122	Wellington     	1
68	surname-33126  	firstname-35813	Lower Hutt     	2
69	surname-64533  	firstname-16039	Upper Hutt     	1
70	surname-81737  	firstname-77084	Wellington     	2
71	surname-28445  	firstname-83468	Upper Hutt     	2
72	surname-11670  	firstname-97934	Wellington     	0
73	surname-46840  	firstname-96807	Upper Hutt     	4
74	surname-85653  	firstname-43747	Lower Hutt     	1
75	surname-10406  	firstname-93330	Upper Hutt     	1
76	surname-50512  	firstname-90457	Upper Hutt     	1
77	surname-48928  	firstname-83491	Wellington     	2
78	surname-59608  	firstname-55614	Lower Hutt     	2
79	surname-41208  	firstname-15948	Upper Hutt     	6
80	surname-35254  	firstname-36938	Upper Hutt     	4
81	surname-58344  	firstname-97350	Wellington     	1
82	surname-90699  	firstname-97209	Upper Hutt     	2
83	surname-84531  	firstname-10016	Upper Hutt     	1
84	surname-34988  	firstname-78476	Upper Hutt     	1
85	surname-17609  	firstname-34522	Upper Hutt     	1
86	surname-29292  	firstname-49473	Lower Hutt     	4
87	surname-40043  	firstname-54481	Upper Hutt     	2
88	surname-98146  	firstname-23649	Upper Hutt     	6
89	surname-71126  	firstname-58107	Lower Hutt     	2
90	surname-15511  	firstname-21056	Wellington     	1
91	surname-30344  	firstname-92174	Upper Hutt     	1
92	surname-29210  	firstname-88297	Upper Hutt     	2
93	surname-62576  	firstname-26110	Upper Hutt     	2
94	surname-10793  	firstname-37259	Upper Hutt     	2
95	surname-30982  	firstname-87469	Wellington     	3
96	surname-78978  	firstname-78033	Lower Hutt     	0
97	surname-90461  	firstname-34093	Wellington     	3
98	surname-29091  	firstname-46977	Upper Hutt     	2
99	surname-78994  	firstname-74906	Wellington     	3
100	surname-74265  	firstname-46869	Upper Hutt     	3
101	surname-44684  	firstname-39649	Lower Hutt     	1
102	surname-28486  	firstname-42471	Wellington     	3
103	surname-61209  	firstname-66762	Wellington     	0
104	surname-26965  	firstname-23927	Lower Hutt     	5
105	surname-79768  	firstname-12933	Upper Hutt     	2
106	surname-17188  	firstname-12269	Lower Hutt     	2
107	surname-91926  	firstname-59441	Upper Hutt     	2
108	surname-35840  	firstname-54671	Lower Hutt     	0
109	surname-82150  	firstname-91033	Lower Hutt     	2
110	surname-92335  	firstname-98210	Lower Hutt     	1
111	surname-60471  	firstname-91055	Lower Hutt     	0
112	surname-61358  	firstname-31068	Wellington     	1
113	surname-51131  	firstname-92432	Lower Hutt     	1
114	surname-55648  	firstname-74187	Upper Hutt     	0
115	surname-68437  	firstname-50090	Wellington     	1
116	surname-46087  	firstname-23559	Lower Hutt     	3
117	surname-64566  	firstname-86947	Lower Hutt     	3
118	surname-58190  	firstname-76846	Upper Hutt     	0
119	surname-53908  	firstname-74580	Upper Hutt     	2
120	surname-71408  	firstname-33374	Lower Hutt     	2
121	surname-62889  	firstname-77590	Wellington     	4
122	surname-94295  	firstname-59008	Wellington     	4
123	surname-96496  	firstname-57459	Wellington     	1
124	surname-44138  	firstname-22786	Lower Hutt     	3
125	surname-85751  	firstname-23554	Upper Hutt     	1
126	surname-12372  	firstname-92428	Upper Hutt     	1
127	surname-85455  	firstname-30080	Upper Hutt     	3
128	surname-62506  	firstname-43538	Lower Hutt     	2
129	surname-78339  	firstname-64686	Lower Hutt     	0
130	surname-72133  	firstname-72636	Wellington     	1
131	surname-59164  	firstname-45794	Wellington     	3
132	surname-24208  	firstname-39228	Wellington     	2
133	surname-13575  	firstname-36098	Wellington     	4
134	surname-59897  	firstname-46566	Wellington     	4
135	surname-94091  	firstname-30553	Lower Hutt     	2
136	surname-81011  	firstname-93403	Upper Hutt     	0
137	surname-71473  	firstname-95125	Upper Hutt     	3
138	surname-77396  	firstname-18953	Upper Hutt     	2
139	surname-49438  	firstname-35537	Wellington     	2
140	surname-38101  	firstname-65261	Upper Hutt     	4
141	surname-38068  	firstname-35146	Wellington     	3
142	surname-36710  	firstname-45936	Upper Hutt     	2
143	surname-32816  	firstname-71668	Lower Hutt     	2
144	surname-94930  	firstname-73554	Upper Hutt     	3
145	surname-80326  	firstname-78359	Wellington     	3
146	surname-79168  	firstname-40234	Lower Hutt     	2
147	surname-97289  	firstname-83707	Wellington     	4
148	surname-90486  	firstname-84407	Upper Hutt     	2
149	surname-79309  	firstname-22166	Upper Hutt     	1
150	surname-69962  	firstname-25392	Wellington     	0
151	surname-12543  	firstname-97895	Lower Hutt     	1
152	surname-57587  	firstname-34746	Wellington     	2
153	surname-27246  	firstname-28599	Wellington     	1
154	surname-71347  	firstname-24031	Upper Hutt     	5
155	surname-90932  	firstname-34283	Upper Hutt     	2
156	surname-42264  	firstname-90445	Wellington     	4
157	surname-26905  	firstname-18606	Lower Hutt     	2
158	surname-48989  	firstname-89887	Wellington     	2
159	surname-54182  	firstname-74045	Lower Hutt     	1
160	surname-57741  	firstname-82921	Upper Hutt     	0
161	surname-73546  	firstname-86578	Wellington     	1
162	surname-41244  	firstname-19580	Lower Hutt     	3
163	surname-25068  	firstname-20649	Lower Hutt     	2
164	surname-43793  	firstname-60079	Wellington     	1
165	surname-78466  	firstname-74280	Lower Hutt     	5
166	surname-67462  	firstname-54352	Lower Hutt     	3
167	surname-27222  	firstname-84036	Wellington     	2
